所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
活动首页(#1),活动时间：2019年7月18日0点-2019年7月19日22点,无,"1. 通过点击资源位或分享链接点击进入活动首页
","1. 显示：title：微拍清凉节；banner：取运营配置的后台banner图；弹幕：出价播报；点击右上角点击可分享
",功能测试,高,手动,迭代测试
活动首页(#1),2019年7月19日22点之后,无,"1. 通过点击资源位或分享链接点击进入活动页面
","1. 进入返场活动页面
",功能测试,低,手动,迭代测试
限时秒杀分会场,验证限时秒杀分会场,无,"1. 用户通过资源位入口或分享链接点击进入限时秒杀分会场
","1. 显示与交互：title：限时秒杀；进行中显示距离该场次结束的倒计时；即将开始的场次显示即将开始，可点击查看该场次；已结束的场次置灰不可点击
",功能测试,高,手动,迭代测试
精品一口价分会场,验证精品一口价分会场,无,"1. 用户通过资源位入口或分享链接点击进入精品一口价会场
","1. 显示：title：微拍清凉节；banner：取运营配置的后台banner图；弹幕：出价播报；
",功能测试,高,手动,迭代测试
砸金蛋分会场,验证砸金蛋页面显示,无,"1. 用户点击链接或分会场入口进入砸金蛋页面
","1. 显示：banner，取后台配置的banner
",功能测试,高,手动,迭代测试
砸金蛋分会场,验证砸金蛋页面操作,无,"1. 点击砸金蛋
","1. 中奖：恭喜您获得XX优惠券一张（平台优惠券或店铺券）；优惠券具体内容
",功能测试,高,手动,迭代测试
砸金蛋分会场,验证砸金蛋页面分享,无,"1. 分享按钮有次数
2. 分享按钮无次数
3. 分享按钮无次数
","1. 有次数时点击金蛋：可直接砸开；当前剩余次数：X次（每日起始有3次，每天0点刷新次数）
2. 可分享获得次数：（每日最多三次）H5：分享获得游戏次数小程序、APP：按钮：分享获得游戏次数
3. 不可分享获得次数：H5：今日次数已用完，明天再来（19号仅显示今日次数已用完）小程序、APP：按钮：分享
",功能测试,高,手动,迭代测试
砸金蛋分会场,用户点击链接或分会场入口进入砸金蛋页面,无,"1. 点击中奖纪录按钮
","1. 打开中奖纪录弹窗：（不可点击）
",功能测试,低,手动,迭代测试
砸金蛋分会场,用户点击链接或分会场入口进入砸金蛋页面,无,"1. 奖品配置
","1. 活动店铺优惠券，抽中自动关注店铺，优惠需要低于9折，中奖概率：100%
",功能测试,低,手动,迭代测试
砸金蛋分会场,用户点击链接或分会场入口进入砸金蛋页面,无,"1. 虚拟用户出现概率
","1. 每30条弹幕出现一条虚拟用户弹幕，每次从虚拟用户名单里抽取
",功能测试,低,手动,迭代测试
畅爽直播分会场,验证畅爽直播分会场,无,"1. 用户通过资源位入口或分享链接点击进入畅爽直播会场
","1. 显示：title：微拍清凉节；banner：取运营配置的后台banner图
",功能测试,低,手动,迭代测试
畅爽直播分会场,直播间列表,无,"1. 排序
","1. 状态优先：直播中>预展中>回放中，相同状态置顶优先；按照最近一小时的销售额排序；10个大图直播间（固定数量）；剩余小图直播间
",功能测试,高,手动,迭代测试
优选好物分会场,验证优选好物会场,无,"1. 用户通过资源位入口或分享链接点击进入优选好物分会场
","1. 显示：title：微拍清凉节；banner：取运营配置的后台banner图；弹幕：出价播报；
",功能测试,高,手动,迭代测试
热销好货分会场,验证热销好货分会场,无,"1. 用户通过资源位入口或分享链接点击进入热销好货分会场
","1. 显示：title：微拍清凉节；banner：取运营配置的后台banner图；弹幕：出价播报；
",功能测试,高,手动,迭代测试
