所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
聊天列表,消息类型,无,"1. 交易信息
2. 微拍堂消息
3. 系统通知
4. 买卖家消息
","1. 有新消息没有红色气泡
2. 有消息来显示红点气泡，最高99，超过显示99+
3. 有消息来显示红点气泡，最高99，超过显示99+
4. 有消息来显示红点气泡，最高99，超过显示99+
",功能测试,低,手动,迭代测试
聊天列表,排序,无,"1. 系统消息、微拍堂消息、系统通知
2. 用户消息
","1. 默认置顶
2. 按时间逆序排列，未读消息置于用户消息最顶部
",功能测试,高,手动,迭代测试
聊天列表,列表支持,无,"1. 左滑置顶
2. 取消置顶
3. 删除
","1. 点击置顶后置顶消息位于用户消息最顶部，未读消息位于置顶消息之下
2. 取消置顶后排序重新回归原位
3. 消息从列表页面删除
",功能测试,高,手动,迭代测试
聊天列表,买过x次（买家端）,无,"1. 买家在该店铺付款单数
","1. 1单=1次，显示总的买入次数；需成交≥1笔，才显示，买入标签；买家端显示：买过3次
",功能测试,低,手动,迭代测试
聊天列表,交易x次（卖家端）,无,"1. 卖家与该用户发生的交易单数
","1. 1单=1次，显示总的卖出次数；需成交≥1笔，才显示，卖家端显示：交易3次
",功能测试,低,手动,迭代测试
交易消息,颜色区分,无,"1. 买家消息
2. 卖家消息
","1. 绿色✅
2. 蓝色✅
",功能测试,低,手动,迭代测试
交易消息,消息内容,无,"1. 消息内包含头像，描述
2. 点击图片与文字
3. 点击下拉箭头后的订单消息
","1. 最新消息显示一条以及消息收到时间，点击下拉箭头可显示所有消息
2. 显示拍品详情
3. 显示订单详情。数字为该订单一共有几条相关消息
",功能测试,高,手动,迭代测试
交易消息,最新消息,无,"1. 显示逻辑
","1. 最上一条为最新消息。上滑加载更多信息
",功能测试,高,手动,迭代测试
微拍堂消息/系统消息,显示内容,无,"1. 显示微拍堂/系统头像以及消息内容
","1. 内容换行自适应显示大小
",功能测试,高,手动,迭代测试
微拍堂消息/系统消息,从聊天列表页进入时,无,"1. 第一次只显示未读消息。其他消息隐藏
","1. 下拉或者点击查看更多加载
",功能测试,低,手动,迭代测试
微拍堂消息/系统消息,链接,无,"1. 若消息中有链接
","1. 跳转相应的链接，带二维码可以打开图片保存图片
",功能测试,低,手动,迭代测试
微拍堂消息/系统消息,上拉消息,无,"1. 出现“点击回到底部”的按钮
","1. 若在消息列表页面来新消息，按钮上出现红点
",功能测试,低,手动,迭代测试
用户消息,显示内容,无,"1. 列表用户消息显示用户头像，用户昵称
2. 最新一条消息
","1. 取微拍堂真实用户头像和昵称
2. 包含订单，图片，文字，视频，表情
",功能测试,高,手动,迭代测试
用户消息,消息列表,无,"1. 买家列表
2. 卖家列表
","1. 通过左右tab切换
2. 通过左右tab切换
",功能测试,中,手动,迭代测试
用户消息,买过x次（买家端）,无,"1. 买家在该店铺付款单数
","1. 1单=1次，显示总的买入次数；需成交≥1笔，才显示，买入标签；买家端显示：买过3次
",功能测试,低,手动,迭代测试
用户消息,交易x次（卖家端）,无,"1. 卖家与该用户发生的交易单数
","1. 1单=1次，显示总的卖出次数；需成交≥1笔，才显示，卖家端显示：交易3次
",功能测试,低,手动,迭代测试
全站拉黑,全站拉黑用户,无,"1. 接收消息
","1. 可以接收到用户消息，和系统消息
",功能测试,高,手动,迭代测试
全站拉黑,提示信息,无,"1. 发送消息时显示该提示
","1. ”由于你的异常行为，已被全站拉黑，若有疑问，请联系平台客服“
",功能测试,高,手动,迭代测试
私信陌生人限制,陌生人,无,"1. 定义
2. 活跃度
","1. 9天之内没有发生过交流，或者双方没有发生过交易（交易过不再是陌生人）
2. 发送消息
",功能测试,低,手动,迭代测试
私信陌生人限制,私信数量,无,"1. 根据会员等级走
","1. V0 6个；V1 10个；v2-v3 20个；v4及以上50个
",功能测试,低,手动,迭代测试
词库,检测到聊天内容涉及微信等词,无,"1. 消息发送成功，买卖双方都收到提醒
","1. 2发送消息提示：为了您的信息安全，请勿使用第三方软件交流，若因此造成损失，微拍堂概不负责。
",功能测试,高,手动,迭代测试
词库,异常上报,无,"1. 检测到微信等词提醒异常上报
","1. 管理后台预警处能收到该条信息
",功能测试,低,手动,迭代测试
词库,上报词库,无,"1. 包含词库
","1. 'vx', 'wx', '微信', '威信', '微x', 'v信', 'wechat', '\+v', 'v\+', '加v', 'v\：', 'v\:', '\+微', '微\:', '微\：'
",功能测试,低,手动,迭代测试
词库,用户发送敏感词,无,"1. 发送失败。并提醒屏蔽一分钟
","1. 一分钟内用户发送信息，显示叹号，发送失败。
",功能测试,高,手动,迭代测试
词库,屏蔽词词库,无,"1. 包含词库
","1. ：'联拍在线','15510820631', '藏拍苑', '鉴定师', '鑒定師', '文拍厅','拍拍堂','艺享拍卖','乐拍堂','网易拍卖','东家','微库拍','文玩迷','掌眼','阿里拍卖','尚拍堂','京东拍卖','龘藏','拍宠','全民拍卖','闲鱼','库拍','竹兰里','茶叶第一拍','艺术网拍卖网','天天拍','寻宝之旅','收藏大论坛','美玉秀秀','收藏联盟','华夏收藏','说画','掌拍艺术','全民收藏','掌物志','文玩世家','文玩客','文玩天下','北京保利拍卖','赵涌在线','嘉德在线','艺易拍HIHEY','雅昌兜藏','中国嘉德图录','北京匡时','艺典中国','掌上易拍','雅昌拍卖图录','联拍在线','艺是网拍','荣宝斋微拍','雅鉴','大咖拍卖','微信ALT', '这里不方便讲', '微信3568726', '需要了解加QQ', '874038752', '新浪收藏旗下', '18301009929','13064913637'
",功能测试,低,手动,迭代测试
屏蔽词,屏蔽逻辑,无,"1. 10分钟内连续发5条违禁词
2. 提示信息
3. 配置
4. 数据
","1. 1小时内无法发送消息
2. 提示：由于频繁发送违禁词，1小时内无法发送消息
3. 限制时间和违禁词数量以及限制时间都可配置，数据需落地可查
4. 每天发违禁词的商家数、会话数，每天10分钟内连续发5条的违禁词的商家数、会话数
",功能测试,高,手动,迭代测试
屏蔽词,自动回复设置,无,"1. 自动回复中，不允许添加电话号码
2. 页面提示
3. 校验
","1. 添加或编辑时，优先展示违禁词提示，后提示不允许添加联系方式
2. 违禁词和联系方式提示在添加或编辑页面提示
3. 电话号码需校验
",功能测试,高,手动,迭代测试
IM官方客服,自助服务,无,"1. 催发货
2. 申请售后
3. 反馈建议
","1. 展示目前可提醒卖家发货的订单集合页
2. 点击后，跳转到现有到买家售后订单页面
3. 暂时不放出；若申请售后未做好，自助服务暂时不放出
",功能测试,高,手动,迭代测试
IM官方客服,常见咨询,无,"1. 常见咨询
2. 展示五类
3. 查看更多
","1. 与买家帮助相结合
2. 操作，财务、账户、订单、举报，目前浏览量最高的两条内容
3. 跳转至买家帮助；补充：1月数据变一次
",功能测试,低,手动,迭代测试
IM官方客服,VIP用户,无,"1. 进入页面
2. 召唤客服
","1. 进入常见咨询页面
2. 若有vip以前有引导页面的，在引导页面，点击马上召唤客服，到人工客服页面
",功能测试,高,手动,迭代测试
IM官方客服,人工客服,无,"1. 若会话没结束，点击人工客服
2. 若已结束
","1. 跳转到人工客服页面
2. 仍跳转自助咨询页面
",功能测试,低,手动,迭代测试
IM官方客服,在线客服,无,"1. 常见问题
2. 发送消息
3. 会话结束
","1. 显示知识库设置展示的问题，点击问题后自动弹出对应的相关答案
2. 可输入文字，表情，图片，视频，发送订单
3. 会话自动结束逻辑
",功能测试,高,手动,迭代测试
IM官方客服,选择订单,无,"1. 发送方式
","1. 客服发消息：您好，请选择要咨询的订单。点击这里选择订单>>>
",功能测试,高,手动,迭代测试
IM官方客服,选择足迹,无,"1. 发送方式
","1. 客服发消息：您好，请从近期浏览的拍品中进行选择。点击这里选择足迹>>>
",功能测试,高,手动,迭代测试
IM官方客服,选择举报,无,"1. 发送方式
","1. 客服发消息：您好，请选择要咨询的举报记录。点击这里进入举报列表>>
",功能测试,高,手动,迭代测试
店主看到子账号接入,子账号接入,无,"1. 子账号接入的信息显示在店主的聊天列表
","1. 带标签：显示子账号接入
",功能测试,高,手动,迭代测试
店主看到子账号接入,查看,无,"1. 店主点击进入该条聊天
","1. 可以查看订单
",功能测试,低,手动,迭代测试
店主看到子账号接入,置顶与屏蔽,无,"1. 置顶
2. 屏蔽
","1. 可以置顶该用户，但不影响子账号的置顶
2. 可以屏蔽用户。屏蔽后，子账号处输入框消失。提示该用户已被xxx屏蔽。
",功能测试,高,手动,迭代测试
店主看到子账号接入,聊天记录,无,"1. 子账号接入的用户在店主处显示聊天记录
","1. 店主点击进来如图，显示子账号xxx接待中
",功能测试,高,手动,迭代测试
店主看到子账号接入,操作,无,"1. 店主点击可以拉黑、置顶
","1. 点击右上角订单只能查看订单，不出现发送店内商品按钮
",功能测试,高,手动,迭代测试
店主看到子账号接入,显示头像,无,"1. 子账号聊天时候
","1. 显示自己的头像，在用户处均显示店主的头像
",功能测试,低,手动,迭代测试
消息提醒样式,显示内容,无,"1. 提醒包含用户名，用户消息内容
","1. 内容最多显示一行，超过“...”显示
",功能测试,高,手动,迭代测试
消息提醒样式,显示位置,无,"1. 该提醒在聊天窗口和聊天列表处
","1. 不显示消息提醒
",功能测试,高,手动,迭代测试
消息提醒样式,跳转地址,无,"1. 点击消息后
","1. 跳转具体聊天窗口
",功能测试,高,手动,迭代测试
消息提醒样式,消息条数,无,"1. 进入平台后，若有多条消息
2. 若只有1条消息
","1. 展示消息条数
2. 显示消息内容
",功能测试,低,手动,迭代测试
快捷回复,点击聊天输入框左边的快捷按钮,无,"1. 可进入快捷回复，通过tab切换两种回复类型
","1. 个人快捷回复
",功能测试,高,手动,迭代测试
快捷回复,未设置个人回复时,无,"1. 页面显示
2. 点击前往设置按钮
","1. 显示暂无快捷短语，快去设置吧；下方显示前往设置按钮
2. 跳转个人快捷回复进行设置
",功能测试,低,手动,迭代测试
快捷回复,未设置团队回复时,无,"1. 显示暂无快捷短语，快去设置吧
2. 点击“前往设置按钮”跳转到团队快捷回复设置
",,功能测试,低,手动,迭代测试
快捷回复,子账号登录时,无,"1. 团队快捷回复处
","1. 不显示前往设置按钮
",功能测试,高,手动,迭代测试
快捷回复,点击齿轮按钮,无,"1. 跳转到客服设置
","1. 点击X关闭浮层
",功能测试,高,手动,迭代测试
快捷回复,设置后点击任一条快捷回复,无,"1. 消息在输入框
","1. 可编辑、发送
",功能测试,高,手动,迭代测试
快捷回复,团队快捷回复点击箭头标志,无,"1. 点击箭头标志
","1. 可打开下拉快捷回复
",功能测试,低,手动,迭代测试
卖家消息,发送内容,无,"1. 文字
2. 图片
3. 视频
4. 表情
","1. 发送字符
2. 发送图片
3. 发送视频
4. 发送表情
",功能测试,高,手动,迭代测试
卖家消息,发送视频,无,"1. 点击发送视频唤起按钮
","1. 选择录像或者本地视频可以发送视频
",功能测试,高,手动,迭代测试
卖家消息,发送图片,无,"1. 点击发送照片唤起按钮
","1. 可以选择拍照或者从相册选择可以发送照片
",功能测试,高,手动,迭代测试
卖家消息,置顶和屏蔽此用户,无,"1. 置顶
2. 屏蔽此用户
3. 输入框显示
4. 被屏蔽
","1. 点击右上角图标，显示置顶与拉黑此用户，置顶后在聊天列表置顶
2. 屏蔽以后不再接受此用户的消息；屏蔽方输入框隐藏，被屏蔽方不能发送消息
3. 屏蔽用户时。输入框隐藏，不支持再发消息，显示：该用户已被xxxx屏蔽
4. 被屏蔽后再发送消息，显示：您已经被该店铺屏蔽
",功能测试,高,手动,迭代测试
卖家消息,点击右上角和对话框底部查看订单按钮,无,"1. 订单
2. 店内拍品
","1. 可查看订单，通过tab可以切换；显示该用户在店内的所有交易订单
2. 可发送店内拍品，通过tab可以切换
",功能测试,高,手动,迭代测试
卖家消息,转接,无,"1. 转接功能为卖家功能，点击对话框转接按钮
2. 选择转接客服后
3. 转接出去后，显示提示
4. 客服接到转接用户消息
","1. 若卖家有子账号时，可转接该用户给子账号
2. 可填写备注，非必填。确认后转给该客服
3. 该用户已经转接给客服xxx，隐藏输入框
4. 显示客服xxx将用户转接给你，备注：xxxxxx
",功能测试,高,手动,迭代测试
卖家消息,点击头像,无,"1. 点击用户头像
2. 点击自己的头像
","1. 显示对应的店铺/个人信息
2. 显示自己的店铺/个人信息
",功能测试,低,手动,迭代测试
卖家消息,未付款提醒,无,"1. 买卖家存在成交未付款
","1. 每次进入店铺均出现成交未付款提醒
",功能测试,低,手动,迭代测试
买家消息,发送内容,无,"1. 文字
2. 图片
3. 视频
4. 表情
","1. 输入字符
2. 发送图片
3. 发送视频
4. 发送表情
",功能测试,高,手动,迭代测试
买家消息,发送视频,无,"1. 点击发送视频唤起按钮
","1. 选择录像或者本地视频可以发送视频
",功能测试,高,手动,迭代测试
买家消息,发送照片,无,"1. 点击发送照片唤起按钮
","1. 可以选择拍照或者从相册选择可以发送照片
",功能测试,高,手动,迭代测试
买家消息,置顶与屏蔽此店铺,无,"1. 置顶
2. 屏蔽此店铺
3. 输入框显示
4. 被屏蔽
5. 取消屏蔽
","1. 点击右上角图标，显示置顶与屏蔽此用户，置顶后在聊天列表置顶
2. 屏蔽后用户不能再收到消息
3. 屏蔽用户时。输入框隐藏，不支持再发消息，显示：该用户已被屏蔽
4. 被屏蔽后再发送消息，显示：您已经被该用户屏蔽
5. 屏蔽后点击取消屏蔽按钮
",功能测试,高,手动,迭代测试
买家消息,进店,无,"1. 进店按钮
","1. 点击右上角进店按钮
",功能测试,低,手动,迭代测试
买家消息,选择订单,无,"1. 消息中心
2. 发送订单
","2. 点击选择订单
",功能测试,高,手动,迭代测试
买家消息,私聊,无,"1. 用户通过拍品详情-私信进入私聊
","1. 会显示发送拍品，每次从拍品详情进入都会显示
",功能测试,高,手动,迭代测试
买家消息,非法图片,无,"1. 用户发送图片
","1. 发送成功，同时检测该图片
",功能测试,低,手动,迭代测试
买家消息,拷贝和撤回,无,"1. 拷贝消息
2. 撤回消息
","1. 长按消息，可以拷贝和撤回，拷贝消息只能拷贝文字消息
2. 撤回可以撤回全部消息类型
",功能测试,低,手动,迭代测试
